Well,R²,RMSE,flag_r2,flag_rmse,flag_dual
3-BRSA-1069-SES,0.3837191247646667,6.361067526395448,True,True,True
1-BRSA-930D-SES,0.566293858626864,5.347633757174094,True,False,True
3-BRSA-1207-SES,0.5847481397464904,7.03239666059979,True,True,True
1-BRSA-1013-SES,0.6910810391437019,6.671999752879339,True,True,True
3-BRSA-1178D-SES,0.7012378711695033,5.874329614617837,False,False,False
1-BRSA-1104-SES,0.711733555691541,3.49168175965864,False,False,False
1-BRSA-1131-SES,0.7412016231622455,4.676619652247611,False,False,False
4-BRSA-197-SES,0.7565404618159997,4.355792279387245,False,False,False
3-BRSA-1248D-SES,0.7853294674418316,4.841250457421853,False,False,False
3-BRSA-1333-SES,0.7859355318360413,4.415835464843002,False,False,False
3-BRSA-1194-SES,0.8079244997095594,4.555611182993164,False,False,False
3-BRSA-1296-SES,0.8081619199830733,4.721649578806487,False,False,False
1-BRSA-1088-SES,0.8166904624406175,4.378780533003662,False,False,False
3-BRSA-1251-SES,0.8245181486995861,3.858312493051526,False,False,False
3-BRSA-1234D-SES,0.8332766542925262,3.553525635455125,False,False,False
3-BRSA-1180D-SES,0.8411187484464315,5.407041619448313,False,False,False
3-BRSA-1286-SES,0.8597754412867562,2.90444802205296,False,False,False
3-BRSA-1244-SES,0.8698173347743146,3.3712465459636327,False,False,False
1-BRSA-978-SES,0.8715181973816595,3.8945100937843047,False,False,False
3-BRSA-1367-SES,0.8807908073147096,4.581540378722761,False,False,False
3-BRSA-1239-SES,0.8993797754469179,2.999930426386781,False,False,False
3-BRSA-1303-SES,0.9071316209309966,2.669809926647853,False,False,False
3-BRSA-1163-SES,0.91090155234271,3.1060101084741305,False,False,False
3-BRSA-1371-SES,0.9116733648790064,4.239025899944564,False,False,False
3-BRSA-1297-SES,0.9198646592906002,3.9891869327806697,False,False,False
9-BRSA-1280D-SES,0.9280779662723092,4.03513068095994,False,False,False
9-BRSA-1278A-SES,0.9297624203231288,4.007604277610065,False,False,False
