Well_Name,N_samples,Gardner_R2,Gardner_RMSE,Gardner_MAE,Wyllie_R2,Wyllie_RMSE,Wyllie_MAE,RHG_R2,RHG_RMSE,RHG_MAE
1-BRSA-1013-SES,4738,-121.27392343569086,132.73964834683647,131.70874233677728,-3.846642916058575,26.427388592749878,23.48452505578303,-0.3261140975822372,13.823696328062926,10.917780758440134
1-BRSA-1088-SES,5890,-190.606858426306,141.56835083289312,137.0691428374007,-7.316261395245441,29.493391347948567,27.52451137011884,-2.5984869071429326,19.400843446716674,16.400887123650424
1-BRSA-1104-SES,4945,-370.46273559249653,125.3416002055054,123.59299683914435,-19.363142498984658,29.34674975601241,27.48832817858443,-4.1618430719831,14.775425863947445,13.840993227509536
1-BRSA-1131-SES,11519,-190.14234910122036,127.09537176416939,124.87813352578173,-5.990288674944807,24.305179441637428,20.94825311006164,-2.3682558329145986,16.87150447770513,14.263064910522102
1-BRSA-930D-SES,9512,-502.34883662357186,182.17903813561318,179.23513442721196,-1.9779230787681241,14.012660755877686,12.95855276703112,-1.7154352630997485,13.380846754950326,12.045767809808769
1-BRSA-978-SES,5054,-118.94383107921335,118.99288148637831,117.53084305370145,-3.1746647568755737,22.19948124164423,19.715347057776018,0.17146289063022158,9.889811308229463,8.193340883805503
3-BRSA-1069-SES,10602,-394.3951322136817,161.1225474412422,153.71140893745334,-10.570914890648542,27.562874656686063,25.732724420590454,-1.4331172249627677,12.63927540864065,11.10375623432905
3-BRSA-1163-SES,8590,-241.24738089017444,161.956111578227,158.62543578975283,-2.5507723377777816,19.607815419835024,18.401381456658907,0.13143104493129698,9.697726846800085,7.369108304080883
3-BRSA-1178D-SES,3436,-161.32443146508461,136.92649271682046,134.92241645992686,-4.343421495094405,24.843069566396583,19.26094085870198,-1.403067467297506,16.66013517866059,13.36164000190861
3-BRSA-1180D-SES,12931,-115.14150827345453,146.18981523469031,142.60861146844735,-1.8001126624408013,22.699230718467938,21.18923455649215,-0.12142345582486747,14.365085134002735,12.11634826101307
3-BRSA-1194-SES,3846,-237.722579448203,160.6043903195588,152.85532195889024,-5.0354067846874315,25.536650767184753,22.892897555902238,-0.3772267920069572,12.198695625866739,10.101078103688248
3-BRSA-1207-SES,8058,-187.88393053008863,149.98404820946112,146.53826473407233,-5.934022670109544,28.73691836757931,26.56129177575081,-5.91386590879878,28.69511977528769,26.499279499920014
3-BRSA-1234D-SES,5799,-293.32324309456516,149.30471557938932,143.5154001334587,-9.110749617683016,27.672788397196125,24.834790290465445,-1.21191385260901,12.943309872743766,11.52105428633991
3-BRSA-1239-SES,7777,-287.17082996602363,160.54380444978824,154.77302164430048,-3.8986746377134587,20.931860865742976,18.48069681168831,-0.21802782793009534,10.437515825989927,8.730403265698627
3-BRSA-1244-SES,10123,-256.81322005903127,150.02599881117396,145.62648592532375,-5.14313756467175,23.158426907394837,21.157572528054924,-0.044844626775808916,9.550800907825113,7.919772571885464
3-BRSA-1248D-SES,13658,-244.1274937533538,163.59399067998822,159.60758829790376,-2.4495075292785513,19.406619139581455,17.983160918326252,0.08796392792098318,9.978777564495472,7.8840939889769475
3-BRSA-1251-SES,6031,-196.3340415037721,129.38451455695886,128.31772574861887,-9.916299292105085,30.43119539080681,28.28314478005306,-1.989210265741273,15.924269832297616,14.097647013539177
3-BRSA-1286-SES,5472,-293.49288228611283,133.10334478059434,128.8188368481788,-11.886406721751909,27.843093449203508,25.35564264245248,-1.6410690366462743,12.604959209522686,11.63658998130174
3-BRSA-1296-SES,5233,-227.85356616764608,163.0816830942219,155.941870265266,-3.430804102653143,22.69173052081354,20.244031666252628,0.04509775567533458,10.534302853329587,8.277661978996582
3-BRSA-1297-SES,8829,-416.1694150018656,183.84631825692833,180.24641557940595,-1.4234529628953578,14.012512217394415,12.600200095254277,-0.47954363313403525,10.948700996018813,8.915426131163146
3-BRSA-1297A-SES,8797,-241.80788287552957,150.0139962400491,145.80428596932927,-4.734163771549379,23.0534238762528,21.161274960043198,-0.22036188761539655,10.63517663537334,8.875664421472067
3-BRSA-1303-SES,7659,-237.98551338367164,135.4354012677637,132.53862613498316,-5.844509249012649,22.920155942349226,21.15347568781825,-0.6002064471875184,11.082415246703038,9.865274145435983
3-BRSA-1333-SES,7260,-246.89926811189622,150.27205042272854,147.25676582457928,-1.9229288495862717,16.317353112641364,15.05581078822314,0.3230448329533938,7.852727800224034,6.43915420383865
3-BRSA-1367-SES,9791,-156.50433252937876,166.53399380174747,158.2425351240805,-1.8832577545355194,22.531929279761098,20.265392145848228,-5.3795797288813674e-05,13.269920664010591,11.426169328269328
3-BRSA-1371-SES,8792,-104.60383168272006,146.57505479607516,143.82638669077264,-1.209238042751807,21.20027447380835,18.642139430732485,0.45366619365825755,10.54263727216143,9.16784079092247
4-BRSA-197-SES,4516,-260.96776173424473,142.88205525015553,141.80834755714943,-4.833175460603698,21.320936853124348,20.482807451284323,-0.6166027636251463,11.224200663452413,8.51890256672055
9-BRSA-1278A-SES,11119,-105.89301405033322,156.3416618790347,152.84235713634126,-1.4188467192817802,23.518208525624253,21.880679526036513,-0.24894783877482962,16.89943608792142,15.134285937135534
9-BRSA-1280D-SES,21838,-124.92147298860125,168.84045825525814,163.91186677394126,-0.7048499239079526,19.645799247133805,17.426403178793848,0.4282258393102296,11.377291545254112,9.947934655950899
